/* DATA DESCRIPTION:
Citation:	Miller, Heinz; Schwager, Matthias (2000): Density of ice core ngt37C95.2 from the North Greenland Traverse. PANGAEA, https://doi.org/10.1594/PANGAEA.57798
39.122	720.9
39.123	715.0
39.124	715.4
39.125	715.2
39.126	714.2
39.127	715.2
39.128	714.9
39.129	716.2
39.130	715.7
39.131	715.3
39.132	715.2
39.133	716.1
39.134	714.2
39.135	714.4
39.136	715.5
39.137	717.7
39.138	717.8
39.139	714.4
39.140	716.5
39.141	720.3
39.142	717.7
39.143	718.8
39.144	718.6
39.145	719.9
39.146	717.2
39.147	716.0
39.148	718.5
39.149	719.8
39.150	717.7
39.151	716.4
39.152	717.6
39.153	719.8
39.154	723.6
39.155	724.0
39.156	721.9
39.157	718.9
39.158	716.4
39.159	710.4
39.160	706.4
39.161	707.7
39.162	700.5
39.163	698.1
39.164	695.0
39.165	696.7
39.166	694.1
39.167	692.9
39.168	694.7
39.169	696.5
39.170	697.1
39.171	697.1
39.172	696.9
39.173	700.3
39.174	699.3
39.175	698.3
39.176	698.7
39.177	697.8
39.178	698.0
39.179	697.5
39.180	692.7
39.181	696.2
39.182	694.6
39.183	692.0
39.184	689.7
39.185	686.5
39.186	690.5
39.187	688.7
39.188	692.1
39.189	690.3
39.190	691.4
39.191	697.6
39.192	704.6
39.193	707.3
39.194	705.4
39.195	706.1
39.196	698.1
39.197	690.2
39.198	690.1
39.199	689.0
39.200	687.1
39.201	687.1
39.202	684.9
39.203	686.7
39.204	680.9
39.205	681.4
39.206	681.5
39.207	681.4
39.208	682.8
39.209	681.4
39.210	678.2
39.211	680.9
39.212	684.7
39.213	676.5
39.214	680.7
39.215	682.1
39.216	685.9
39.217	682.9
39.218	682.9
39.219	682.6
39.220	682.4
39.221	679.9
39.222	681.9
39.223	677.2
39.224	674.8
39.225	676.5
39.226	678.6
39.227	677.2
39.228	679.4
39.229	678.3
39.230	677.1
39.231	676.3
39.232	679.2
39.233	679.7
39.234	679.1
39.235	677.6
39.236	678.6
39.237	682.6
39.238	680.1
39.239	679.3
39.240	677.1
39.241	676.9
39.242	675.3
39.243	673.1
39.244	677.7
39.245	678.3
39.246	682.5
39.247	680.1
39.248	682.7
39.249	674.3
39.250	676.1
39.251	674.6
39.252	676.5
39.253	679.4
39.254	677.1
39.255	675.9
39.256	675.6
39.257	674.5
39.258	671.1
39.259	668.1
39.260	671.9
39.261	669.8
39.262	670.4
39.263	670.7
39.264	671.0
39.265	670.7
39.266	670.7
39.267	667.7
39.268	670.9
39.269	675.2
39.270	678.0
39.271	681.2
39.272	679.0
39.273	679.1
39.274	679.6
39.275	676.0
39.276	677.1
39.277	679.4
39.278	677.5
39.279	675.1
39.280	674.4
39.281	676.7
39.282	676.8
39.283	679.3
39.284	680.5
39.285	683.2
39.286	681.5
39.287	679.8
39.288	680.0
39.289	680.0
39.290	683.0
39.291	684.3
39.292	679.6
39.293	677.7
39.294	680.3
39.295	678.4
39.296	677.1
39.297	674.4
39.298	678.8
39.299	678.0
39.300	678.9
39.301	682.5
39.302	682.4
39.303	682.1
39.304	681.4
39.305	681.1
39.306	686.8
39.307	683.4
39.308	686.3
39.309	688.9
39.310	688.7
39.311	690.7
39.312	685.1
39.313	682.2
39.314	682.0
39.315	678.3
39.316	678.0
39.317	676.1
39.318	676.8
39.319	674.7
39.320	677.7
39.321	676.1
39.322	677.9
39.323	680.3
39.324	678.3
39.325	676.9
39.326	677.7
39.327	676.4
39.328	678.3
39.329	678.4
39.330	677.7
39.331	676.0
39.332	675.3
39.333	680.6
39.334	679.4
39.335	679.9
39.336	677.7
39.337	677.5
39.338	675.8
39.339	673.1
39.340	680.8
39.341	681.1
39.342	679.7
39.343	677.4
39.344	680.7
39.345	680.8
39.346	682.7
39.347	679.9
39.348	681.3
39.349	683.5
39.350	685.0
39.351	682.6
39.352	684.5
39.353	682.9
39.354	682.8
39.355	683.9
39.356	685.5
39.357	683.5
39.358	682.0
39.359	685.6
39.360	686.5
39.361	685.4
39.362	681.2
39.363	684.8
39.364	684.5
39.365	682.6
39.366	681.3
39.367	680.5
39.368	680.3
39.369	678.1
39.370	680.1
39.371	681.6
39.372	683.3
39.373	681.8
39.374	681.3
39.375	684.0
39.376	682.7
39.377	679.6
39.378	679.0
39.379	679.4
39.380	676.9
39.381	679.9
39.382	680.8
39.383	681.7
39.384	684.0
39.385	685.0
39.386	685.0
39.387	684.9
39.411	674.2
39.412	674.7
39.413	673.3
39.414	674.8
39.415	672.2
39.416	671.3
39.417	673.5
39.418	674.6
39.419	678.6
39.420	675.7
39.421	673.5
39.422	676.1
39.423	678.6
39.424	678.2
39.425	680.5
39.426	680.5
39.427	681.7
39.428	681.9
39.429	685.2
39.430	691.7
39.431	697.6
39.432	702.5
39.433	705.4
39.434	704.7
39.435	707.2
39.436	710.8
39.437	708.6
39.438	707.4
39.439	709.9
39.440	708.8
39.441	705.0
39.442	701.0
39.443	698.0
39.444	692.5
39.445	688.8
39.446	689.4
39.447	687.2
39.448	688.9
39.449	684.8
39.450	686.2
39.451	686.5
39.452	688.0
39.453	686.4
39.454	685.5
39.455	684.1
39.456	683.5
39.457	685.9
39.458	686.8
39.459	684.9
39.460	683.3
39.461	681.2
39.462	679.6
39.463	680.6
39.464	683.5
39.465	681.4
39.466	681.1
39.467	680.2
39.468	680.6
39.469	681.0
39.470	683.1
39.471	680.8
39.472	683.3
39.473	684.3
39.474	681.9
39.475	682.5
39.476	681.5
39.477	684.7
39.478	685.2
39.479	689.5
39.480	693.2
39.481	695.8
39.482	697.9
39.483	698.1
39.484	700.7
39.485	700.8
39.486	701.5
39.487	704.0
39.488	704.2
39.489	711.1
39.490	721.1
39.491	719.4
39.492	720.9
39.493	720.3
39.494	717.4
39.495	715.4
39.496	713.9
39.497	716.2
39.498	714.5
39.499	717.8
39.500	718.6
39.501	714.2
39.502	712.8
39.503	715.8
39.504	716.0
39.505	710.7
39.506	706.9
39.507	704.8
39.508	704.6
39.509	699.0
39.510	695.8
39.511	693.4
39.512	690.6
39.513	689.0
39.514	688.8
39.515	690.1
39.516	687.7
39.517	682.4
39.518	685.3
39.519	681.8
39.520	681.3
39.521	681.6
39.522	682.8
39.523	683.2
39.524	682.5
39.525	683.5
39.526	687.3
39.527	686.9
39.528	686.9
39.529	687.5
39.530	689.6
39.531	687.4
39.532	686.1
39.533	683.3
39.534	682.6
39.535	680.6
39.536	680.4
39.537	680.2
39.538	681.2
39.539	682.2
39.540	680.5
39.541	678.8
39.542	680.3
39.543	679.8
39.544	677.7
39.545	677.9
39.546	679.0
39.547	679.0
39.548	682.0
39.549	678.5
39.550	680.7
39.551	684.4
39.552	681.8
39.553	681.1
39.554	679.5
39.555	683.5
39.556	679.5
39.557	679.0
39.558	680.9
39.559	679.0
39.560	681.0
39.561	682.2
39.562	678.6
39.563	679.8
39.564	680.4
39.565	682.4
39.566	684.7
39.567	685.2
39.568	682.4
39.569	679.0
39.570	679.8
39.571	678.1
39.572	679.2
39.573	680.4
39.574	676.7
39.575	678.7
39.576	677.0
39.577	677.0
39.578	678.5
39.579	682.5
39.580	685.6
39.581	690.3
39.582	688.3
39.583	685.2
39.584	680.8
39.585	680.6
39.586	680.9
39.587	679.0
39.588	683.1
39.589	684.0
39.590	680.2
39.591	681.9
39.592	680.5
39.593	678.7
39.594	682.0
39.595	683.1
39.596	682.2
39.597	681.8
39.598	680.1
39.599	680.3
39.600	681.7
39.601	681.8
39.602	680.8
39.603	680.7
39.604	680.8
39.605	681.9
39.606	683.6
39.607	682.5
39.608	681.1
39.609	678.8
39.610	676.0
39.611	679.4
39.612	680.6
39.613	675.0
39.614	678.0
39.615	680.9
39.616	680.8
39.617	682.3
39.618	681.0
39.619	680.2
39.620	677.2
39.621	681.0
39.622	681.6
39.623	681.0
39.624	679.8
39.625	679.7
39.626	680.5
39.627	679.0
39.628	679.8
39.629	679.8
39.630	683.8
39.631	685.7
39.632	686.1
39.633	686.0
39.634	685.5
39.635	685.4
39.636	685.5
39.637	680.8
39.638	682.8
39.639	689.9
39.640	689.6
39.641	687.4
39.642	685.0
39.643	684.7
39.644	684.0
39.645	681.9
39.646	684.3
39.647	682.5
39.648	681.7
39.649	680.0
39.650	684.2
39.651	685.3
39.652	684.6
39.653	684.6
39.654	681.8
39.655	683.4
39.656	681.2
39.657	684.9
39.658	682.4
39.659	679.4
39.660	678.0
39.661	677.5
39.662	677.1
39.663	681.1
39.664	680.7
39.665	680.0
39.666	678.8
39.667	675.7
39.668	678.5
39.669	682.8
39.670	685.7
39.671	687.6
39.672	687.0
39.673	686.9
39.674	686.6
39.675	688.5
39.676	689.0
39.677	687.5
39.678	686.9
39.679	685.7
39.680	685.6
39.681	684.4
39.682	681.6
39.683	682.2
39.684	680.9
39.685	683.4
39.686	679.7
39.687	677.3
39.688	681.4
39.689	683.4
39.690	681.0
39.691	679.9
39.692	678.5
39.693	680.2
39.694	680.5
39.695	678.1
39.696	678.3
39.697	676.1
39.698	678.3
39.699	677.0
39.700	680.0
39.701	693.6
39.702	698.6
39.703	706.7
39.704	715.4
39.705	716.9
39.706	720.5
39.707	722.1
39.708	723.0
39.709	725.0
39.710	724.9
39.711	724.4
39.712	720.8
39.713	717.0
39.714	718.9
39.715	722.2
39.716	721.4
39.717	722.3
39.718	719.1
39.719	724.2
39.720	725.4
39.721	726.3
39.722	721.8
39.723	721.8
39.724	721.7
39.725	721.3
39.726	722.9
39.727	722.5
39.728	720.5
39.729	723.7
39.730	722.7
39.731	723.6
39.732	726.9
39.733	727.4
39.734	724.5
39.735	727.2
39.736	727.0
39.737	728.3
39.738	729.2
39.739	726.2
39.740	726.6
39.741	726.9
39.742	728.5
39.743	732.0
39.744	733.3
39.745	737.0
39.746	738.9
39.747	746.9
39.748	756.4
39.749	756.8
39.750	753.5
39.751	749.0
39.752	740.5
39.753	734.4
39.754	730.9
39.755	736.2
39.756	735.5
39.757	727.8
39.758	720.1
39.759	719.3
39.760	713.8
39.761	712.8
39.762	712.6
39.763	708.1
39.764	707.6
39.765	701.8
39.766	702.3
39.767	704.4
39.768	704.0
39.769	702.8
39.770	703.7
39.771	700.7
39.772	703.2
39.773	701.1
39.774	701.0
39.775	704.5
39.776	703.5
39.777	699.2
39.778	702.3
39.779	703.2
39.780	703.1
39.781	702.5
39.782	698.1
39.783	701.4
39.784	699.0
39.785	698.0
39.786	697.7
39.787	697.6
39.788	698.9
39.789	696.5
39.790	699.7
39.791	696.1
39.792	692.4
39.793	686.1
39.794	686.7
39.795	687.1
39.796	684.7
39.797	683.6
39.798	684.7
39.799	686.6
39.800	685.0
39.801	683.1
39.802	684.4
39.803	685.0
39.804	685.8
39.805	685.9
39.806	685.3
39.807	683.5
39.808	683.2
39.809	683.6
39.810	686.4
39.811	686.3
39.812	684.7
39.813	685.4
39.814	684.6
39.815	685.1
39.816	685.5
39.817	683.9
39.818	685.5
39.819	688.3
39.820	685.8
39.821	685.2
39.822	686.4
39.823	685.7
39.824	686.7
39.825	682.4
39.826	684.5
39.827	684.3
39.828	683.1
39.829	685.4
39.830	687.5
39.831	685.6
39.832	685.9
39.833	685.8
39.834	683.6
39.835	686.4
39.836	688.2
39.837	685.6
39.838	686.0
39.839	686.0
39.840	685.1
39.841	686.4
39.842	687.2
39.843	686.5
39.844	687.1
39.845	686.2
39.846	683.4
39.847	682.9
39.848	684.2
39.849	684.1
39.850	683.0
39.851	681.6
39.852	684.1
39.853	684.9
39.854	682.6
39.855	681.4
39.856	681.7
39.857	683.1
39.858	685.3
39.859	683.8
39.860	686.7
39.861	687.6
39.862	686.6
39.863	684.8
39.864	684.8
39.865	680.8
39.866	677.0
39.867	678.1
39.868	682.8
39.869	685.6
39.870	682.4
39.871	683.3
39.872	684.8
39.873	685.3
39.874	690.7
39.875	688.3
39.876	687.0
39.877	682.7
39.878	684.5
39.879	681.4
39.880	683.3
39.881	683.7
39.882	683.6
39.883	684.7
39.884	681.8
39.885	686.2
39.886	689.7
39.887	686.8
39.888	686.1
39.889	687.4
39.890	689.8
39.891	689.5
39.892	687.7
39.893	686.7
39.894	684.2
39.895	684.8
39.896	688.3
39.897	691.8
39.898	690.9
39.899	683.4
39.900	685.2
39.901	685.8
39.902	686.6
39.903	685.1
39.904	680.3
39.905	684.0
39.906	683.9
39.907	686.2
39.908	686.4
39.909	683.2
39.910	686.1
39.911	686.7
39.912	687.0
39.913	687.2
39.914	682.9
39.915	681.0
39.916	684.8
39.917	687.1
39.918	688.2
39.919	684.4
39.920	687.5
39.921	689.0
39.922	690.6
39.923	692.7
39.924	691.9
39.925	690.2
39.926	689.9
39.927	687.0
39.928	683.0
39.929	682.8
39.930	682.4
39.931	679.7
39.932	681.2
39.933	681.9
39.934	680.3
39.935	682.5
39.936	679.4
39.937	679.5
39.938	681.1
39.939	681.0
39.940	681.8
39.941	684.0
39.942	684.7
39.943	687.3
39.944	681.8
39.945	680.5
39.946	680.1
39.947	680.0
39.948	678.6
39.949	679.3
39.950	680.9
39.951	678.5
39.952	674.7
39.953	673.5
39.954	674.9
39.955	676.9
39.956	677.2
39.957	674.8
39.958	676.5
39.959	678.2
39.960	679.3
39.961	678.2
39.962	678.0
39.963	680.3
39.964	680.8
39.965	680.1
39.966	682.4
39.967	679.2
39.968	676.5
39.969	678.8
39.970	677.5
39.971	674.2
39.972	675.1
39.973	676.9
39.974	678.5
39.975	677.3
39.976	674.3
39.977	674.5
39.978	676.5
39.979	676.4
40.024	725.9
40.025	724.3
40.026	724.6
40.027	724.3
40.028	727.0
40.029	727.6
40.030	727.5
40.031	725.3
40.032	728.8
40.033	727.1
40.034	730.7
40.035	732.2
40.036	734.5
40.037	727.1
40.038	723.0
40.039	723.4
40.040	723.4
40.041	721.9
40.042	718.9
40.043	716.2
40.044	716.0
40.045	720.2
40.046	714.7
40.047	717.0
40.048	715.4
40.049	714.8
40.050	717.0
40.051	718.5
40.052	717.1
40.053	715.4
40.054	717.2
40.055	715.6
40.056	714.3
40.057	717.9
40.058	717.5
40.059	715.5
40.060	718.1
40.061	717.2
40.062	714.7
40.063	714.0
40.064	709.6
40.065	708.7
40.066	705.5
40.067	706.2
40.068	704.9
40.069	705.3
40.070	705.1
40.071	705.9
40.072	706.1
40.073	707.3
40.074	701.6
40.075	696.7
40.076	698.9
40.077	696.6
40.078	693.7
40.079	695.6
40.080	693.3
40.081	691.9
40.082	692.4
40.083	692.3
40.084	694.8
40.085	699.0
40.086	697.2
40.087	690.3
40.088	688.5
40.089	686.9
40.090	688.0
40.091	684.7
40.092	684.4
40.093	686.2
40.094	683.3
40.095	684.3
40.096	685.7
40.097	686.6
40.098	685.8
40.099	682.0
40.100	685.8
40.101	686.5
40.102	682.8
40.103	687.0
40.104	686.3
40.105	684.8
40.106	684.6
40.107	683.2
40.108	682.0
40.109	684.0
40.110	685.0
40.111	685.5
40.112	682.0
40.113	683.4
40.114	686.5
40.115	681.5
40.116	681.7
40.117	683.7
40.118	683.1
40.119	684.4
40.120	682.3
40.121	682.9
40.122	681.8
40.123	681.6
40.124	684.9
40.125	681.5
40.126	680.3
40.127	680.6
40.128	679.3
40.129	678.6
40.130	680.9
40.131	684.4
40.132	681.7
40.133	682.3
40.134	682.7
40.135	681.4
40.136	683.6
40.137	681.7
40.138	682.3
40.139	685.4
40.140	684.1
40.141	684.6
40.142	685.7
40.143	686.2
40.144	684.8
40.145	684.5
40.146	685.5
40.147	684.8
40.148	689.3
40.149	689.6
40.150	689.6
40.151	689.7
40.152	687.7
40.153	686.4
40.154	684.8
40.155	684.5
40.156	686.1
40.157	686.8
40.158	688.2
40.159	688.3
40.160	689.9
40.161	695.3
40.162	696.7
40.163	694.9
40.164	698.1
40.165	705.2
40.166	715.0
40.167	716.9
40.168	724.5
40.169	729.8
40.170	731.1
40.171	731.3
40.172	734.0
40.173	733.0
40.174	732.7
40.175	727.4
40.176	726.7
40.177	723.5
40.178	723.2
40.179	723.0
40.180	722.8
40.181	719.8
40.182	722.3
40.183	719.6
40.184	723.2
40.185	726.4
40.186	726.0
40.187	722.4
40.188	720.6
40.189	717.5
40.190	724.9
40.191	724.5
40.192	726.0
40.193	726.4
40.194	725.6
40.195	724.4
40.196	723.9
40.197	724.1
40.198	726.4
40.199	728.6
40.200	730.4
40.201	730.5
40.202	727.8
40.203	730.2
40.204	728.7
40.205	726.4
40.206	727.1
40.207	730.3
40.208	726.2
40.209	724.4
40.210	725.3
40.211	724.7
40.212	725.9
40.213	725.3
40.214	726.1
40.215	727.7
40.216	730.2
40.217	728.7
40.218	730.3
40.219	731.8
40.220	733.1
40.221	732.2
40.222	729.8
40.223	730.7
40.224	728.3
40.225	728.8
40.226	725.2
40.227	727.0
40.228	725.1
40.229	729.4
40.230	728.2
40.231	725.8
40.232	725.5
40.233	725.4
40.234	727.6
40.235	729.4
40.236	728.5
40.237	728.5
40.238	726.2
40.239	726.7
40.240	726.0
40.241	726.9
40.242	725.1
40.243	731.9
40.244	727.9
40.245	724.1
40.246	724.2
40.247	716.1
40.248	712.8
40.249	710.8
40.250	715.3
40.251	714.6
40.252	713.1
40.253	709.6
40.254	704.2
40.255	703.5
40.256	704.5
40.257	705.4
40.258	706.1
40.259	704.4
40.260	700.3
40.261	705.1
40.262	706.8
40.263	705.1
40.264	707.0
40.265	710.2
40.266	706.4
40.267	709.5
40.268	704.0
40.269	706.3
40.270	714.9
40.271	723.4
40.272	721.1
40.273	715.8
40.274	711.5
40.275	712.9
40.276	713.7
40.277	716.1
40.278	713.8
40.279	712.4
40.280	712.3
40.281	711.8
40.282	710.9
40.283	713.0
40.284	712.6
40.285	716.6
40.286	719.6
40.287	715.7
40.288	717.2
40.289	714.0
40.290	714.7
40.291	716.1
40.292	716.5
40.293	716.7
40.294	712.6
40.295	722.6
40.296	721.7
40.297	714.5
40.298	704.5
40.299	703.5
40.300	696.8
40.301	696.4
40.302	695.7
40.303	693.3
40.304	693.9
40.305	690.6
40.306	693.9
40.307	691.0
40.308	694.8
40.309	693.7
40.310	692.6
40.311	697.1
40.312	695.6
40.313	699.6
40.314	697.7
40.315	695.5
40.316	696.1
40.317	693.4
40.318	693.3
40.319	693.8
40.320	696.2
40.321	696.6
40.322	697.8
40.323	697.7
40.324	699.5
40.325	695.0
40.326	697.2
40.327	697.2
40.328	696.1
40.329	699.0
40.330	698.4
40.331	695.0
40.332	690.3
40.333	691.6
40.334	689.7
40.335	688.2
40.336	687.0
40.337	688.0
40.338	683.8
40.339	685.2
40.340	683.8
40.341	683.4
40.342	682.6
40.343	682.3
40.344	684.6
40.345	686.4
40.346	683.7
40.347	682.6
40.348	681.3
40.349	681.6
40.350	681.2
40.351	684.0
40.352	681.3
40.353	681.2
40.354	684.2
40.355	681.6
40.356	684.3
40.357	685.3
40.358	684.7
40.359	683.2
40.360	684.7
40.361	683.5
40.362	684.3
40.363	683.9
40.364	684.2
40.365	681.5
40.366	680.9
40.367	680.2
40.368	680.3
40.369	680.6
40.370	685.3
40.371	685.3
40.372	685.6
40.373	685.1
40.374	685.9
40.375	687.9
40.376	688.3
40.377	687.9
40.378	689.5
40.379	691.3
40.380	694.0
40.381	695.6
40.382	695.6
40.383	696.1
40.384	701.5
40.385	693.5
40.386	695.5
40.387	694.2
40.388	694.7
40.389	694.1
40.390	691.9
40.391	688.3
40.392	687.4
40.393	687.1
40.394	689.3
40.395	692.3
40.396	692.3
40.397	689.4
40.398	691.2
40.399	687.8
40.400	689.8
40.401	692.7
40.402	692.7
40.403	690.5
40.404	690.0
40.405	696.6
40.406	692.9
40.407	695.3
40.408	696.4
40.409	697.8
40.410	692.8
40.411	694.7
40.412	694.3
40.413	694.9
40.414	692.6
40.415	689.6
40.416	692.6
40.417	690.5
40.418	688.5
40.419	689.6
40.420	688.7
40.421	692.4
40.422	690.4
40.423	690.6
40.424	693.2
40.425	693.2
40.426	691.6
40.427	692.1
40.428	693.5
40.429	693.5
40.430	696.4
40.431	695.5
40.432	693.4
40.433	692.7
40.434	694.2
40.435	693.1
40.436	699.9
40.437	700.2
40.438	703.3
40.439	708.2
40.440	707.4
40.441	708.3
40.442	704.9
40.443	704.6
40.444	698.8
40.445	694.9
40.446	697.3
40.447	694.4
40.448	694.6
40.449	695.9
40.450	695.1
40.451	692.6
40.452	688.9
40.453	691.8
40.454	691.2
40.455	688.7
40.456	692.0
40.457	695.7
40.458	699.4
40.459	696.3
40.460	693.2
40.461	693.8
40.462	693.4
40.463	693.4
40.464	693.1
40.465	689.4
40.466	688.0
40.467	689.0
40.468	690.8
40.469	690.3
40.470	687.9
40.471	689.6
40.472	691.1
40.473	691.9
40.474	690.7
40.475	686.6
40.476	690.2
40.477	695.2
40.478	695.2
40.479	696.1
40.480	694.2
40.481	691.2
40.482	692.7
40.483	695.0
40.484	692.5
40.485	690.9
40.486	692.6
40.487	694.4
40.488	694.4
40.489	689.4
40.490	691.2
40.491	693.2
40.492	691.1
40.493	691.7
40.494	693.4
40.495	693.1
40.496	692.7
40.497	695.7
40.498	695.4
40.499	699.9
40.500	701.4
40.501	706.8
40.502	707.9
40.503	713.7
40.504	716.7
40.505	726.8
40.506	727.4
40.507	729.2
40.508	726.6
40.509	726.7
40.510	728.9
40.511	725.7
40.512	724.8
40.513	723.4
40.514	718.7
40.515	717.1
40.516	717.2
40.517	713.2
40.518	717.2
40.519	715.8
40.520	711.1
40.521	705.0
40.527	702.6
40.528	714.8
40.529	725.3
40.530	728.3
40.531	729.4
40.532	729.1
40.533	730.6
40.534	730.7
40.535	729.5
40.536	729.2
40.537	728.7
40.538	727.6
40.539	724.1
40.540	716.6
40.541	713.2
40.542	710.9
40.543	708.5
40.544	707.2
40.545	705.5
40.546	693.4
40.547	691.0
40.548	684.5
40.549	687.2
40.550	689.8
40.551	692.4
40.552	691.6
40.553	694.8
40.554	694.0
40.555	697.8
40.556	704.0
40.557	707.3
40.558	704.4
40.559	698.8
40.560	699.0
40.561	696.0
40.562	692.6
40.563	693.4
40.564	691.1
40.565	692.3
40.566	691.5
40.567	690.0
40.568	690.1
40.569	687.8
40.570	691.6
40.571	692.9
40.572	692.6
40.573	690.2
40.574	690.1
40.575	685.7
40.576	689.2
40.577	690.3
40.578	691.9
40.579	693.4
40.580	697.9
40.581	703.5
40.582	700.6
40.583	703.8
40.584	702.7
40.585	704.0
40.586	704.9
40.587	707.1
40.588	714.7
40.589	716.9
40.590	717.8
40.591	721.9
40.592	718.5
40.593	719.1
40.594	721.4
40.595	723.4
40.596	722.9
40.597	720.4
40.598	724.9
40.599	721.5
40.600	721.1
40.601	721.8
40.602	722.2
40.603	721.8
40.604	722.5
40.605	724.6
40.606	723.3
40.607	720.2
40.608	712.8
40.609	711.0
40.610	703.1
40.611	702.0
40.612	700.4
40.613	701.3
40.614	698.1
40.615	699.4
40.616	698.8
40.617	698.6
40.618	699.6
40.619	701.6
40.620	701.5
40.621	703.6
40.622	705.0
40.623	705.0
40.624	707.1
40.625	705.2
40.626	706.1
40.627	706.4
40.628	708.7
40.629	704.0
40.630	701.3
40.631	696.4
40.632	695.4
40.633	698.3
40.634	694.5
40.635	698.7
40.636	701.5
40.637	699.3
40.638	697.1
40.639	698.1
40.640	698.0
40.641	699.3
40.642	698.8
40.643	692.5
40.644	694.3
40.645	694.4
40.646	693.8
40.647	695.0
40.648	696.4
40.649	695.3
40.650	698.2
40.651	696.9
40.652	691.8
40.653	697.0
40.654	701.3
40.655	703.6
40.656	703.5
40.657	707.9
40.658	707.5
40.659	704.3
40.660	705.3
40.661	698.6
40.662	697.6
40.663	697.3
40.664	694.8
40.665	693.9
40.666	696.3
40.667	695.4
40.668	694.8
40.669	694.4
40.670	693.5
40.671	692.2
40.672	695.3
40.673	694.2
40.674	693.7
40.675	693.4
40.676	693.7
40.677	691.8
40.678	693.3
40.679	693.6
40.680	689.7
40.681	690.1
40.682	692.9
40.683	692.7
40.684	689.0
40.685	686.3
40.686	690.8
40.687	693.9
40.688	685.9
40.689	687.4
40.690	688.5
40.691	687.5
40.692	689.5
40.693	690.7
40.694	692.6
40.695	692.0
40.696	688.7
40.697	689.4
40.698	692.8
40.699	689.8
40.700	685.9
40.701	686.6
40.702	687.8
40.703	690.1
40.704	688.2
40.705	688.6
40.706	684.2
40.707	686.2
40.708	684.2
40.709	684.7
40.710	683.3
40.711	682.6
40.712	681.2
40.713	682.0
40.714	682.9
40.715	682.5
40.716	683.8
40.717	685.2
40.718	683.8
40.719	681.9
40.720	679.7
40.721	678.7
40.722	677.2
40.723	680.8
40.724	678.3
40.725	683.8
40.726	685.2
40.727	686.7
40.728	687.8
40.729	685.9
40.730	686.9
40.731	687.8
40.732	690.1
40.733	691.0
40.734	692.2
40.735	692.7
40.736	697.7
40.737	700.6
40.738	704.1
40.739	708.1
40.740	708.6
40.741	709.1
40.742	712.2
40.743	709.5
40.744	706.2
40.745	707.9
40.746	706.4
40.747	709.2
40.748	711.0
40.749	714.0
40.750	716.9
40.751	718.1
40.752	718.6
40.753	716.4
40.754	717.3
40.755	718.8
40.756	717.9
40.757	717.1
40.758	715.7
40.759	712.5
40.760	705.4
40.761	704.7
40.762	702.9
40.763	705.6
40.764	700.8
40.765	697.7
40.766	694.2
40.767	695.2
40.768	696.1
40.769	693.4
40.770	691.8
40.771	693.4
40.772	694.0
40.773	694.8
40.774	691.9
40.775	692.7
40.776	692.7
40.777	691.2
40.778	694.4
40.779	692.1
40.780	692.9
40.781	694.5
40.782	695.9
40.783	692.6
40.784	692.4
40.785	691.7
40.786	693.0
40.787	693.5
40.788	687.9
40.789	689.0
40.790	689.6
40.791	689.0
40.792	686.6
40.793	688.9
40.794	685.8
40.795	687.2
40.796	690.3
40.797	685.4
40.798	691.5
40.799	705.2
40.800	711.5
40.801	716.7
40.802	723.6
40.803	723.9
40.804	723.4
40.805	728.0
40.806	729.3
40.807	727.5
40.808	726.2
40.809	731.9
40.810	730.9
40.811	731.7
40.812	730.0
40.813	728.3
40.814	730.2
40.815	730.0
40.816	732.1
40.817	731.2
40.818	734.4
40.819	729.7
40.820	728.2
40.821	732.6
40.822	731.4
40.823	727.4
40.824	729.3
40.825	726.6
40.826	726.9
40.827	725.9
40.828	729.0
40.829	731.2
40.830	728.3
40.831	730.4
40.832	727.6
40.833	729.6
40.834	728.3
40.835	725.7
40.836	724.5
40.837	725.8
40.838	725.4
40.839	724.4
40.840	723.8
40.841	723.1
40.842	721.2
40.843	718.6
40.844	719.0
40.845	719.9
40.846	718.3
40.847	720.5
40.848	721.5
40.849	720.6
40.850	721.0
40.851	726.5
40.852	730.4
40.853	729.4
40.854	723.9
40.855	721.9
40.856	720.4
40.857	717.7
40.858	718.9
40.859	719.0
40.860	717.1
40.861	711.5
40.862	709.3
40.863	708.4
40.864	713.1
40.865	719.1
40.866	717.5
40.867	720.1
40.868	723.7
40.869	723.4
40.870	725.0
40.871	722.4
40.872	725.7
40.873	725.9
40.874	719.4
40.875	713.3
40.876	712.2
40.877	704.0
40.878	702.7
40.879	704.8
40.880	705.4
40.881	708.2
40.882	709.9
40.883	711.1
40.884	709.2
40.885	711.7
40.886	714.9
40.887	713.3
40.888	714.3
40.889	716.8
40.890	713.7
40.891	714.7
40.892	710.8
40.893	710.7
40.894	709.6
40.895	709.3
40.896	711.2
40.897	711.1
40.898	714.2
40.899	715.7
40.900	713.5
40.901	715.8
40.902	715.4
40.903	715.1
40.904	717.5
40.905	716.8
40.906	714.9
40.907	714.5
40.908	711.9
40.909	714.7
40.910	713.3
40.911	713.9
40.912	712.3
40.913	714.4
40.914	711.9
40.915	710.7
40.916	714.0
40.917	714.7
40.918	715.3
40.919	717.3
40.920	717.8
40.921	718.3
40.922	717.8
40.923	717.6
40.924	714.0
40.925	714.3
40.926	717.0
40.927	714.6
40.928	712.7
40.929	711.7
40.930	710.7
